short_question,short_answer,tags,label
my 1 month old caught the common cold from his older sister what will the doctors do or give him if i take him to the hospital being that he is so young,babies have received the immunity from the mother when they were still in the womb this protects the baby in the first six months of its life however this makes the baby susceptible to viruses and bacteria at the same rate as the mother when you take the baby to a doctor a physical examination of the nose the throat and the lungs would be done laboratory tests needed to detect the exact cause of the infection are likely to be performed too since a common cold is usually caused by a virus the doctor might decide not to prescribe antibiotics and instead opt to wait and see if the baby has a fever antipyretics would be recommended if a bacterial cause is detected then adequate antibiotics would be given the only specific thing about this is that not all antibiotics are recommended for babies but do not worry a  pediatrician whom you are advised would know what antibiotic is allowed to be given to your baby a pump to take out the fluid from the nose would ease the babyâs breathing this would also help the baby to eat because a running nose might make the breastfeeding more difficult because the baby would keep gasping for air,"['infections' 'infection' 'pediatrician' 'antibiotic' 'babies newborn'
 'babies cold' 'newborn babies']",1.0
when ever i seat in group of people they will experience blocked noses atleast two or more i bath three times in day change my clothes all time and dont use body lottions,usually bad smells canât cause blocked noses bad smells however can cause an unpleasant feeling you can see a dermatologist to clarify if you really smell badly and if you do to try to solve the problem,"['bad smells' 'smell' 'als' 'bad body odor' 'bad smell' 'bath seat'
 'bad odor' 'bath a' 'als' 'lou gehrig disease']",1.0
i got married about 2 months ago my husband is behavior prior to the wedding was a bit odd dancing around signing a pre nup secretive about his business and business ventures being adversarial i thought much of it was jitters two days after the honeymoon i found out from a family friend that my husband lied to me about his college education  he never graduated  although he told me he was an honors grad from columbia at first he denied it and tried to convince me that i was crazy and he never told me he graduated when i showed him a copy of the wedding announcement he typed up for himself stating he graduated magna cum laude from columbia he verbally assaulted me and refused to speak to me interact etc i just feel that his credibility is shot he is an entrepreneur who was rarely employed by others so checking his history is difficult we went to a couples counselor who felt that my request to see written proof of his financial status and prior businesses was reasonable but my husband does not feel compelled to come clean or make any attempt to help rebuild the broken trust is there anything else i can do i fear there may be some real pathology here,different diet pills contain different ingredients that have different mechanisms certain ones favor the blocking of absorption via the intestines while others increase the metabolism thus taking care of the excess of calories because of the large offerings available you might want to consult a nutritionist on a specific pill available to you in the end have in mind that dieting is not recommended for people who suffer from certain diseases so you might want to consult your family doctor about being on diet and whether or not it is good for you,['ending a relationship'],-1.0
hi my name is roberto writing from italy i write here because i would have a question i can not resolve in my hometown let me introduce me i am a karate black belt and i like to study anatomy in order to be as more effective as i can my question is about windpipe is rings resistance to pressure andor strikes in short i would like to know how much it takes to crushto flat trachea is cartilages with a sharp strike to the cervical part of the throat thankyou for your attention and patience,it does not take much force at all to crush the larynx crushing the human throat takes roughly that same amount of pressure as crushing an empty soda container this is why a move such as a throat gouge should never be used in a fight the only time this kind of move should be used is if it is life or death a hit to the throat can easily kill a person and is not to joked with i hope this clears your doubts,['clinical trials' 'research' 'and studies'],1.0
hi i have recently undergone a vasectomy and after 1 sample i was asked to do another after putting my second sample in the urologist has asked to see me face to face in 7 days time im not sure if this is normal and i have worked myself up about this thinking they may have detected something in my sample showing something serious like prostate cancer since the procedure i have had little aches and pains in my left testicle which i assumed was normal and may very well be ive also had a bit of a dull ache in my lower left back which comes and goes i may not even notice this for days should i be worried about them calling me in they have not said its urgent or asked me to take someone in is it normal to be asked to see your urologist after a result,this can be worse seems like depression which many people develop when they loose loved one or close friend you can take help of psychiatric and psychologist but most importantly you have to help your self indulge your self in activities that you like that pleases you adopt hobbies you can take help of close friends and family and they should understand emotions you are dealing you have to understand that fact and accept the reality that no one has ability to control everything in their lives tough times do come but you have to deal with it because in other case its you that is suffering and hurting take care of your self hope it helps thanks,['cancer' 'prostate cancer' 'prostate health' 'testicular cancer'],-1.0
i had melingtis when i was a baby and i was wondering if there are any effects that i could have 18yrs on i also suffer with really bad back pain when it is the time of the month i was wondering if you can help me,according to your babyâs symptoms regurgitation not vomiting of milk after feeding she might be experiencing an esophageal disorder i will not speculate anything without further diagnostic examinations you should bring her to her pediatrician immediately,"['meningitis' 'sexual life' 'back ache' 'headache' 'symptoms' 'altering'
 'chronic' 'periods' 'edema' 'ache' 'meningitis']",-1.0
i had melingtis when i was a baby and i was wondering if there are any effects that i could have 18yrs on i also suffer with really bad back pain when it is the time of the month i was wondering if you can help me,thank you for your question on ehealthforum com dysmenorrhea pain during periods associated with back ache is common in some women especially young women in their initial years of sexual life meningitis can produce headache due to interference with cerebrospinal fluid circulation by altering the intracranial pressures if your meningitis was uncomplicated with no csf blockage it is unlikely to cause any problems neurological examination will help in identifying any sequelae of meningitis suffered earlier eye examination will show signs of increased intracranial pressure like optic disc edema in an instance of raised intracranial pressure person suffers from headache chronic visual disturbance and even loss apart from other neurological symptoms depending on pressure related damage if you do not have any of those mentioned than it is very unlikely that you have any symptoms related to meningitis sequelae thank you,"['meningitis' 'sexual life' 'back ache' 'headache' 'symptoms' 'altering'
 'chronic' 'periods' 'edema' 'ache' 'meningitis']",1.0
could extra caffeine consumption be a cause of mild unilateral breast tenderness,temporary vision loss should be evaluated for neurological work up like ischemia and tia also neurological examination would be wise i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['breast cancer' 'cancer' 'breasts'],-1.0
its been since august 15 2012 and i have had issues the incision in my bellybutton keeps spliting open infection my dr told me no it is not infection did nothing everything i try to eat even one bite it feels like a rubber band is snapping inside when i sleep on my left side everything on the right settles i feel something moving there is an egg sized   in the center between my navel and ribs what could possibly cause the snapping feeling and what could possibly be moving inside me kind of freaked out especially when my dr who is a ta says nothing is wrong i was 110 when this all began i am under 100 lbs i am 5ft 5in and nothing tastes good smells good and i am nausious all the time,cerebral palsy is a condition in which certain of the muscles most often in the extremities are affected thus causing muscle weakness up to paralysis this might cause a disability of a certain degree in the person which would interfere in the everyday life driving ability included however there are many car modifications that might help people with a driving disability in the beginning it might be best to visit a doctor who might be able to determine the degree of disability and the modifications needed in different countries there are associations that try to improve the life of people with disabilities they also organize driver rehabilitation programs run by driver rehabilitation specialists you might want to check if there is such an association in your country they also might be able to tell you about legal issues related to drivers with disabilities as for the problems you are experiencing difficulty in releasing the clutch and pressing the accelerator at the same time the gear handling is also difficult with steering it might be easily solved if you buy a car with an automatic transmission this would eliminate the need for a clutch and a manual shift the problem with the poor road sense might need training from a driving rehabilitation specialist,"['bellybutton' 'infection' 'august' 'sleep' 'sleep disorders'
 'recovery & post-op']",-1.0
10 days ago i had my bile ducts replaced with my small intestine and removal of my gall bladder i am so depressed reading all these etters has this surgery ever been successful i feel this surgery was a bad idea and my quality of my life is over please give me some hope,hello and welcome to ehealth forum if you are having normal periods 4 5 days that you usually have then you can never become pregnant by having unprotected sex during your periods however if you have a 26 28 day cycle or a shorter cycle of 24 26 days and have periods for 7 8 days then you need to be careful on the last 2 days hope this helps take care,"['bladder' 'small intestine' 'health care' 'intestine' 'surgery'
 'gall bladder surgery' 'intestine disorders' 'bile duct disorders']",-1.0
i started getting symptoms 6 years ago when i turned 41  migraines vision problems tremors anemia memory issues joint arthritis and spur growth before this i was a healthy construction worker who never saw the doctor initial ana tests were quite elevated and my doctor referred me to a rheumatologist several tests and rheumatologists later i was written off and the diagnosis was termed as fibromyalgia now new tests reveal kidney disease  no diabetes or high blood pressure is it possible to have lupus with symptoms but not showing in blood tests,with every thing normal i dont think its is lupus and fibromyalgia fits the description supportive care with pain killers is advised low doses of tricyclic antidepressants work like charm i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,"['lupus' 'high blood pressure' 'arthritis' 'diabetes' 'anemia'
 'healthcare it' 'lupus']",1.0
i have been suffering from severe fatigue for most of my life and had my first hypoglycaemia episode when i was about 11 years old i have visited many doctors over the years and had many tests done which all came back normal however i recently decided to measure my own blood sugars at home i ate a high carb meal with a sugary energy drink my sugar level was 5 6 before the meal 7 3 directly after the meal and 2 2 one hour after the meal i can not find any explanation of the rapid change other than gastric dumping syndrome which does not apply to me as i have never had stomach surgery throughout my life i have alsp experienced severe hormonal swings and wondering if this has something to do with it i was diagnosed with pcos at one point then a few months later told i did not have it as my bloods were now normal can anyone help,from the description it seems that you have a anxiety disorder and probably issues with being lonely which is probably resulting in a low mood it is understandable that being in the army and to be portraying a hard and tough image all the time takes a toll on the mind after all man is a social being and seeing the hardships in war zones can cause psychological impact on any human being but you should understand that though your profession demands you to be tough while on the job you will need to de stress and find ways to relax when you are off duty this you can do by various means like listening to music spending time with friends and family learning a new art like music reading books being active in sports or at the gym etc other methods by which you can find relaxation and calm is by meditation and doing breathing exercises you may consult a psychiatrist or a counselor who can take a complete history and counsel you accordingly,['hypoglycemia'],-1.0
i am 23 weeks now with fracture of tibia and fibula good formation of the bones was observed doctor had instructed full weight bearing but still on cast the leg to be supported with a crutches how long do i still need to get back to my normal activities i still feel pains and it get swollen after short distance cover or normal sitting on the chair what can i do,use crutches you can do all your activities with support wait for the cast to remove recovery time varies from 6 months to a year to 18 months i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['sexual health' 'recovery' 'healthcare it' 'broken bones'],1.0
i am 35 weeks pregnant and seriously contimplating leaving my husband my pregnancy has been very difficult due to his inability to be completely supportive of me during this time in my 1st tri the cat scratched me and started to become very aggressive toward me hissing etc i asked him to remove the cat but he felt as though it was a shared responsibility & didnt do anything about the cat i couldnt because i didnt want to go near the cat in fear of getting scratched plus it was his cat & i didnt want him resenting me in my 3rd tri she attacked again i got an infenction had to go to the hospital the doh was contacted & he wound up having to take off from work to handle the situation his complaint was that he has to do everything since my 3rd tri he has done some of the grocery shopping to help but refuses to pick up after himself around house he doesnt understand how crazy this makes me and is verbally emotionally abusive when i ask him to wash his dishes saying i am a nag,you seem concerned by the emotional lability during pregnancy along with the feeling that your husband is not supportive and is emotionally and verbally abusing you two main hormones estrogen and progesterone cause mood swings during pregnancy emotions are always unstable and feeling of depression is normal as any other body changes during pregnancy the third trimester is the most anxious one this is the period when mother to be worries about everything and anything that she can think of however her major cause of anxiety lies not just on the labour and delivery process but also in baby care and parenting in general you might be feeling physically uncomfortable with the growth of the abdomen and may feel irritated with the lightest noise as you lack sleep in general it may be more extreme if your partner is unresponsive to your special requirements during pregnancy as he may not realise that the mood swings are normal in pregnancy however if the mood swings of anxiety sadness and anger continuously persist more than two weeks you must meet the practitioner you may be suffering from depression that needs immediate care and attention called bipolar disorder a survey states that untreated emotional health problems can affect your baby is physical well being and increase the risk of preterm labor and postpartum depression get treated with the right psychotherapy and medication for effective results hope this helps take care note this post is not to emphasise final diagnosis as the same cannot be made online and is aimed just to provide medical information and no treatment suggested above be taken without face to face consultation with health care professional,"['pregnancy' 'depression during pregnancy' 'postpartum depression'
 'bipolar disorder' 'third trimester' 'progesterone' 'health care'
 'depression' 'medication' 'aggressive' 'depression during pregnancy']",1.0
my nephew who is four years has very bad mood swings and stops what he is doing and starts opening and closing of his hands he tells his mother that he wants to break her bones and break the house he goes to the bathroom on the porch and steps in ti and thinks it is funny he is in time out at school 4 out of 5 days and the daycare provider said he needs to be seen by a doctor my sister is so frustrated she does not know what to do other things he does is spit at people hit others punches his mom yells a lot calls eveyone stupid says he wants to hurt animals and people his speech is hard to understand he starts a conversation and be fore he can finish he will stop and talk about something completly different my sister does not know what to do she thinks possible autism what do you think,it is very difficult to reach a definitive diagnosis with the information that you have given about your 4 year old nephew but i will still hint at the possibilities the first possibility to consider is that of disruptive behavioral disorder characterised by destructive and disobedient behaviors as in your nephew like hitting others yelling calling others stupid and missing school 4 out of 5 days as children age oppositional and defiant behavior may continue and result in children having persisting conflicts with adults and peers at home and at school the other likely possibility though is that of autism as indicated by stereotyped and repetitive motor mannerisms of opening and closing of hands plus the speech problems like inability to sustain a conversation delay in development of spoken languageas you said that his speech is hard to understand preoccupation with stereotyped interestas in going to bathroom on the porch the other likely possibility is that of premorbid stage of childhood schizophrenia in the form of disorganized speechbefore he can finish one talk he stops and talks about something different and completely unrelated aggressive behaviour disruptive behaviour alternating moods inappropriate to environment school problems etc the only thing missing is the presence of delusions and hallucinations which usually do not develop before mid adolescence so it is difficult to commit schizophrenia but still suggestive of premorbid stage suggesting the likelihood of developing into full fledged schizophrenia in adolescent years of life all above are the likely possibilities only as it is not possible to reach definitive diagnosis without detailed interview of child and parents and observation of the child in person you must consult your pediatrician for the same as early intervention is always helpful in treating the psychopathology hope this helps take care,"['autism signs' 'autism' 'behavioral disorder' 'early intervention'
 'pediatrician' 'alternating' 'aggressive' 'behaviors' 'diagnosis'
 'childhood' 'autism']",1.0
hi i am 21 year old male and my outer edge of eyebrows are thinning badly with bald spots i am also losing a lot of my eyelashes as well as thinning hair on all parts of head not in male pattern baldness forum i would like to know what could possibly be wrong thank you,hair loss alopecia is a disorder in which the hair falls out from skin areas where it is usually present such as the scalp and body hair loss can be caused due to multiple factors including genetic factors diet endocrine abnormalities systemic illnesses drug intake and hair shaft abnormalities in your case since you are having generalised hair thinning on your scalp without any bald spots you may be having androgenetic alopecia or trichodystrophy treatment of androgenetic alopecia can be done with topical medications like minoxidil or finasteride conditions that result in trichodystrophy and fragile hair can include exposure to excessive sunlight hair care techniques such as hot combing and blow drying and chemical processes including coloring straightening and perming avoiding such procedures or sunlight exposure should be the main stay gentle hair care and use of hair shampoos and conditioners leave on can help prevent further damage regrowth of hair can occur within few months provided repeated damage does not occur it would be recommended that you consult a dermatologist or a hair specialist and seek additional guidance and proper advice for proper hair care i hope this helps,"['hair loss' 'diet' 'healthcare it' 'skin health' 'hair loss'
 'hair disorders']",1.0
please help my fiance is bipolar but will not take medication he says he cannot find one that works for him lately he will pick fights with me over anything and everything lately we have gotten into fights over a new job that i accepted the people i work with even the fact that i talk about the new job and new friends i have made he will fight with me about his ex telling me i am jealous and out of control he barely leaves his computer which usually happens when he gets crazy as he puts it now he is saying he does not know if he wants to marry me and all i do is nag him and he does not care about me i do everything i can for him when he gets like this because i am scared of a big fight and the mean things he says when he is manic he is a wonderful loving man except for when he gets like this how long does the negativity and anger last this has happened before but it just keeps getting worse should i leave seems he wants that then he apologizes and begs me to stay,current medical status a case minmal change disease of kideny due to which cause hypertension high triglecerde level protein urea current medical treatment losar 50 mg 2 times in 24hrs stator 5mg half at night shelcol 500mg one in morning you can reduce the triglycerides in the blood by taking a proper medicine and maintaining a diet you can not reduce proteins in the urine because that is due to kidney failure kidney failure also causes hypertension and increases the urea blood level you should consult a nephrologist about your kidney condition,"['bipolar' 'medication' 'bipolar help' 'anger help'
 'bipolar relationships']",-1.0
what happens if a new mother takes mentone syrup,hi and thanks for your medical question on ehealth forum intestinal metaplasia is often reversible by a combination of antacids and treating h pylori infection so first test and see if you have this infection if you have h pylori infection consult the doctor and start treatment take antioxidant supplements and diet rich in them hope this helps take care,"['pediatrician' 'pregnant' 'about nursing' 'baby products' 'baby nursing'
 'baby mother' 'baby forum' 'baby safe' 'baby new' 'baby care products'
 'breastfeeding and nursing']",-1.0
i got married about 2 months ago my husband is behavior prior to the wedding was a bit odd dancing around signing a pre nup secretive about his business and business ventures being adversarial i thought much of it was jitters two days after the honeymoon i found out from a family friend that my husband lied to me about his college education  he never graduated  although he told me he was an honors grad from columbia at first he denied it and tried to convince me that i was crazy and he never told me he graduated when i showed him a copy of the wedding announcement he typed up for himself stating he graduated magna cum laude from columbia he verbally assaulted me and refused to speak to me interact etc i just feel that his credibility is shot he is an entrepreneur who was rarely employed by others so checking his history is difficult we went to a couples counselor who felt that my request to see written proof of his financial status and prior businesses was reasonable but my husband does not feel compelled to come clean or make any attempt to help rebuild the broken trust is there anything else i can do i fear there may be some real pathology here,according to your description your husband doesnât seem to me to be a pathological liar but more like a real cheater a pathological liar lies and then believes in hisher own lies as truth with no calculated benefit from his lies it seems that your husband did experience a benefit from his lies because he succeeded in marrying you no matter if he likes to discuss it or not you can ask for a divorce,['ending a relationship'],1.0
is there a way to get monolids naturally,monolid or mono eyelid or epicanthic fold technical term is a single eyelid instead of double eyelids this pattern of eyelids is usually a genetic inheritence by birth and there is no other way to acquire it naturally epicanthic fold or monolid is believed to have evolved in order to provide defense from the extreme cold and extreme light that occur in eurasian arctic and northern regions they also protect eyes against dust in areas of deserts such as of northern china and mongolia and some parts of africa monolid is seen naturally in     mongoloid asians   europeans scandinavians poles germans the irish and british  and   africans you can consult a cosmetic surgeon and seek a opinion if you are interested in it i hope this helps,['cosmetic health' 'cosmetic surgery' 'plastic surgery'],1.0
i am a collegiate baseball pitcher and i would like to increase my velocity what are some safe vitamins or supplements i could take to increase muscle mass and endurance,regular over the counter vitamins and balanced diet and lifestyle is all you need avoid cheap publicity stunts claiming to increase endurance etc as none of these are legal and healthy stick to natural ways and exercise and keep doing it as they say try try again i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,['fitness' 'fitness'],1.0
hello am 22 years old and i have type 2diabet i wanted to sign for a new gym which use electric vibes to improve heart pulses and fasten the process of loosing weight i wanted to know if it is dangerous for me knowing that 20min of this sports equals 4 h of normal one thanks,pain abdomen is a frequent complaint after prostatectomy and simple nsaids and slight antispasmodics are sued to combat it the frequency of urination aside from prostate removal is a uti which is common with such intervention avoid fluids from mid afternoon no caffeine or beverages or any kind of stimulants seek a urologist for further guidance take care,['diabetes' 'diabetes'],-1.0
why is it that the medical profession is so behind the times when it comes to considering the feelings of husbands as it pertains to their wive is medical care i just recently learned about the exams my wife has been subjected to on a yearly basis at least one of the following pelvic exam pap smear breast exam it depresses and angers me that a male physician can perform those exams without my consent meanwhile the same doctor over the course of more than 10 years has never asked me to remove anything more than my shirt while she is asked to strip down every time she sees him i think without the consent of both partners in a marriage that it should be illegal for an opposite sex health care professional to perform invasive exams of this nature we are not talking about an emergency here and i feel that he has caused irreparable damage to our marriage and has taken something from me that i can not ever get back what is your take on this,depression is common with any comorbid illness you should not feel bad we all have our weak spots just talk to a psychotherapist and let them help i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,"['breast' 'angry' 'health care' 'pap smear' 'female' 'angers' 'eyes'
 'male' 'sex' 'about health care' 'general community chat']",-1.0
hi there i have extremely bright yellowy orangey mucus and have been recovering from a flu  cold any ideas what it could be,hi gagan welcome to the ehealthforum and i am really glad to help you out i can understand your concern for your uncle but the surgeon was absolutely right in abandoning the whipple is procedure on seeing the metastasis to the liver once the tumor has metastasized to the liver it becomes a stage 4 pancreatic cancer unfortunately majority of the patients do not live more than 6 months and only a few survive up to one year once the diagnosis is confirmed the only option available presently is chemotherapy i sincerely hope that helps take care,['flu' 'cold and flu' 'cold' 'flu and viral infections'],-1.0
during a routine pap smear i requested hiv and std testing all my std tests came back negative but the p24 antigen part of the agab combo test came back reactive while the antibody test was negative i then had a pcr test conducted on a new blood sample and the results were negativenonreactive i then had another agab combo test performed where the p24 antigen and antibody test were both negative 3 months later my doctor ordered another abag combo test the results were the same as the very first test p24 antigen negativeantibody negative at this point i have been told by a pathologist that the positive tests are false and that my body must produce something that looks like the p24 antigen to the test on the other hand my gyno wants me to go to an infections control specialist i am so confused and i do not know what to do i do not know how to definitively get an answer,it seems you are suffering from reflux and gastritis which is a common issue after gall bladder removal regarding the abnormal feeling it requires a clinical examination to comment regarding the exact cause it might be that the incision site is healing which can cause some hardening of the involved and surrounding region the simple measures that are likely to help you are  1 certain foods such as cauliflower broccoli cabbage brussels sprouts and legumes beans may cause bloating and gassiness 2 dietary fiber may lessen symptoms you should drink plenty of water and avoid soda which may cause gas and abdominal discomfort 3 you can use some over the counter drugs like pepto bismol or tums for symptomatic relief consider visiting the treating surgeon once for evaluation take care,['hiv and aids' 'hiv and aids'],-1.0
hello my 7 week old baby always brings up milk after every feed its not straight away but as soon as i lay her on her back even if i have held her up for over an hour its almost a clear colour and she doesnt vomit she kind of just pushes it out it doesnt seem to bother her when it happens what causes this and when will it stop could it be related to something i am eating many thanks nat,this can be worse seems like depression which many people develop when they loose loved one or close friend you can take help of psychiatric and psychologist but most importantly you have to help your self indulge your self in activities that you like that pleases you adopt hobbies you can take help of close friends and family and they should understand emotions you are dealing you have to understand that fact and accept the reality that no one has ability to control everything in their lives tough times do come but you have to deal with it because in other case its you that is suffering and hurting take care of your self hope it helps thanks,"['pediatrician' 'symptoms' 'vomiting' 'babies vomiting' 'babies newborn'
 'baby vomiting' 'back straight' 'babies eating' 'baby newborn'
 'babies milk' 'newborn babies']",-1.0
well i was power lifting and the bar came down wrong and my wrist popped it hurt a whole lot for a couple days then it went away that is until i lift something even a gallon of milk it hurts the same area as original injury my coaches said it was a sprain yet its been three weeks and still hurts if i lift anything my question is is there something more serious to blame other than a sprain,it is difficult to answer all your queries without examination and tests done on you i will try and answer a few of them is oral herpes a localized infection that only sheds from previously infected areas or can it systemically shed from any skin â     hsv can affect the whole body and have localized outbreaks my partner has a history of oral outbreaks but not genital outbreaks but received oral sex from the person who gave him herpes should we consider his genital area infected â     yes he can shed the virus through his body fluids if my partner kisses intact skin on my face  body that is not a mucus membrane nor genital area is there a risk of infection if i kiss my partners face not around the mouth what is the risk â    risk of transmission is less with contact with intact areas and non mucous areas if my partner has clean hands is there a risk of transmission if he touches my genitals â      yes it can be considered safe can hsv1 be transmitted in sweat blood or semen â     yes it can be easily transmitted by blood and semen transmission through sweat is rare and not heard of is there any test for degree of asymptomatic shedding â    no a person can remain asymptomatic and still be able to transmit the infection if the person is on regular treatment then the viral load gets reduced how contagious is hsv1 am i statistically in for it if i continue       the possibility that you have already contracted the infection cannot be ruled out visit your doctorgynecologist for confirmation of the infection by tests get started on prophylactic treatment take care,['orthopedics'],-1.0
my 18 month old screams when having a bowel movement she is not constipated and is quite regular daily she usually screams for about 5 minutes and then seems ok after she is done,nothing will happen really but you should not take these syrups without consulting your obs and gyn and he baby is pediatrician if you are still pregnant please inform your obs and gyn immediately if you have recently delivered please stop it immediately as one cannot really be sure about ayurvedic products unless proven safe through clinical trials hope this helps take care,"['bowl movement' 'pediatrician' 'diet' 'bowl' 'behavior in children'
 'behavior children' 'behavior toddlers' 'behavior child' 'about children'
 'behavior be' 'toddlers']",-1.0
hi doctor the nails on my right hand seem to be clubbing and are in the early stages as in they increased curvaturesize and slight flotation however my left hand nails are perfectly fine as they been all my life i am worried because i read online this can be a sign of lung cancer please advise thanks,clubbing is the bulbous enlargement of one or more fingers of the handhands or toetoes of one or both feet due to the proliferation and edema of the connective tissue which result in loss of the normal angle between the nail plate and it is adjacent skin clubbing can both be acquired and familialgenetic there are so many causes of clubbing lung cancer being one of them and not the only cause in your case the clubbing is unilateralinvolves one hand while mostly in lung cancer the clubbing is bilateral also by the time clubbing is evident in moat of the lung cancer patients they have developed all other miserable symptoms of the disease which i hope you do not have unilateral clubbing can occur due to the axillary artery aneurysm or brachial arterio venous malformations so you should probably get these two ruled out first if your clubbing in one hand appeared recently with the other hand being completely fine wishing you the best of health take care and thank you,['lung cancer' 'cancer' 'lung health' 'skin cancer' 'skin health' 'skin'],1.0
my son is now nineteen months old and doesnt say any words at all he jabbers a lot but you can not understand any of it he seems very normal otherwise he plays and laughs and smiles i have read things about how autistic children do not hold eye contact he can and does we have a seven year old son as well and i do not remember it taking this long for him to talk should i be concerned that he may be autistic i am a nervous wreck over this,different diet pills contain different ingredients that have different mechanisms certain ones favor the blocking of absorption via the intestines while others increase the metabolism thus taking care of the excess of calories because of the large offerings available you might want to consult a nutritionist on a specific pill available to you in the end have in mind that dieting is not recommended for people who suffer from certain diseases so you might want to consult your family doctor about being on diet and whether or not it is good for you,"['symptoms' 'autism' 'autism symptoms of' 'pediatrician'
 'autistic children symptoms' 'autism symptoms children'
 'autism and language' 'autism communication' 'behaviour children'
 'behaviour problems' 'autism']",-1.0
my wife has recurring styes chalazia that must be addressed before chemo  stem cell transplant for multiple myeloma we believe that the previous chemo drugs dexamethasone thalidomidepomalyst contributed to the eye styes they have been recurring for over a year now she has tried antibiotics antibiotic eyedrops hot wash clothes hot tea bags and had one stye surgically removed she was free from them for about a month following a break in chemo treatment and hitting them hard with antibiotics but they came back she has to clear them up again before she begins a stem cell transplant because her immune system will be very weak please help our oncologyst and eye specialist both seem to be at a loss and just trying the same antibiotics over and over we are looking for some unique suggestions here please,your concern is regarding the recurrent chalazia that your wife is having especially when she is planning for chemo stem cell transplant a chalazion is an accumulation of material in the eyelid as a result of a blocked oil gland and there is no underlying cause for the same for recurrent chalazia your wife can use pre moistened eyelid cleansing wipes to maintain hygiene other than that regular use of topical or oral antibiotics can also be prescribed to prevent any further recurrence however if the size is big or it is obstructing field of vision then it may need to be removed surgically patients with underlying conditions such as rosacea seborrheic dermatitis or blepharitis are more prone to multiple and recurrent chalazia so your wife needs to get evaluated for these conditions also as they may be responsible for recurrent chalazia it is very difficult to precisely confirm a diagnosis without examination and investigations and the answer is based on the medical information provided for exact diagnosis you are requested to consult your doctor i sincerely hope that helps take care,['vision and eye disorders'],1.0
can masturbation contribute to chrincic fatigue syndrome,temporary vision loss should be evaluated for neurological work up like ischemia and tia also neurological examination would be wise i hope it helps stay in touch with your healthcare provider for further guidance as our answers are just for education and counselling purposes and cannot be an alternative to actual visit to a doctor take care khan,"['chronic fatigue syndrome' 'chronic fatigue' 'chronic' 'fatigue'
 'about masturbation' 'infectious' 'axis' 'chronic fatigue syndrome']",-1.0
hi i am a 20 year old male i recently fingered myself and i felt something unusual i went all the way in with my entire index finger around 3 inches deep i felt a hard kind of pointy bump i am not sure if this is my prostate or if it is fecal matter i have fingered myself before and every time i do it i feel this i am often constipated so maybe it is fecal matter i am worried because i also have symptoms of prostate cancer like impotence and a weak stream when urinating i was followed by a urologist who was not able to find a problem she made me take flomax to help me urinate better i have not take a flomax pill for more than a year note i do not have a family history of prostate cancer i am caucasian i have a normal weight i know i should probably go see my doctor and tell him about this but it is very embarrassing i need advice thanks,you would like to know whether someone with hypoglycemia can live on a vegetarian diet a vegetarian diet is a diet or lifestyle that seeks to exclude the use of animals for food properly planned vegan diets are healthful and have been found to satisfy nutritional needs poorly planned vegan diets can be low in levels of calcium iodine vitamin b12 and vitamin d vegans are therefore encouraged to plan their diet and take dietary supplements such as vitamin b12 vitamin d calcium iodine and omega 3 fatty acids these deficiencies have potentially serious consequences including anemia rickets and cretinism in children and osteomalacia and hypothyroidism in adults given the data that you provided of hypoglycemia hunger blurred vision of your left eye and weight loss it is likely that you experience them because your body is not adjusting to that diet and the low calorie intake since you experience thyroid cancer the needs for energy are increased because the cancer causes the metabolism to work faster and to spend the energy faster if the body does not have enough energy it starts to lose in weight and hypoglycemia is the consequence you may consider changing the diet back to normal or to increase the energy intake while still vegetarian but to take more vitamin mineral and omega 3 fatty acids supplements please keep in mind that i provide medical information only i am not able to diagnose medical conditions online please contact your doctor or other healthcare provider such as nutritionist for further advice and information,['prostate cancer' 'cancer' 'prostate cancer'],-1.0
i may need diagnostic testing and this time i have a trail period before i can get my health insurance i would be a self pay pt and fear the cost of such tests if i go to an emergency room can i convince them to order mris cts without insurance if i am concerned i am putting this off for as long as i can right now,from the description it seems that you have a anxiety disorder and probably issues with being lonely which is probably resulting in a low mood it is understandable that being in the army and to be portraying a hard and tough image all the time takes a toll on the mind after all man is a social being and seeing the hardships in war zones can cause psychological impact on any human being but you should understand that though your profession demands you to be tough while on the job you will need to de stress and find ways to relax when you are off duty this you can do by various means like listening to music spending time with friends and family learning a new art like music reading books being active in sports or at the gym etc other methods by which you can find relaxation and calm is by meditation and doing breathing exercises you may consult a psychiatrist or a counselor who can take a complete history and counsel you accordingly,['period' 'health care' 'health insurance'],-1.0
